idx,bant_submit,business_unit,customer_idx,customer_type,enterprise,historical_existing_cnt,customer_job,lead_desc_length,inquiry_type,product_category,product_subcategory,product_modelname,customer_position,response_corporate,expected_timeline,business_area,business_subarea,lead_owner,is_converted
55954,1.0,ID,3655,Specifier/ Influencer,Enterprise,,engineering,333,Quotation or Purchase Consultation,oled signage,Transparent OLED Signage,55EW5F-A,ceo/founder,LGESP,6 months ~ 9 months,government department,General Government Office,342,False
19612,0.25,AS,47466,End Customer,Enterprise,19.0,,65,Quotation or Purchase Consultation,multi-split,,,none,LGEIL,,,,115,False
18510,0.25,AS,47466,End-Customer,Enterprise,11.0,,272,Quotation or purchase consultation,multi-split,,,none,LGEUS,,,,27,False
34737,0.5,ID,38404,End-Customer,Enterprise,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
19363,0.5,AS,38682,Specifier/ Influencer,Enterprise,,arts and design,2,Quotation or purchase consultation,chiller,,,associate/analyst,LGEIN,,,,86,True
17574,0.75,AS,28226,End-Customer,SMB,,purchasing,161,Quotation or purchase consultation,rac,,,manager,LGEGF,less than 3 months,,,24,False
52422,0.25,IT,2758,End Customer,Enterprise,,,21,Quotation or Purchase Consultation,,,,none,LGEUS,,,,436,False
36182,1.0,AS,21799,Corporate,Enterprise,,sales,119,Usage or technical consultation,a thermodynamic water heater,,,ceo/founder,LGEMS,less than 3 months,,,42,False
56207,0.75,AS,46642,Specifier/ Influencer,SMB,,engineering,1042,Quotation or Purchase Consultation,etc.,,,entry level,LGEPL,3 months ~ 6 months,government department,Military,694,False
54744,0.25,IT,47466,End Customer,Enterprise,0.0,,35,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,589,True
31094,0.75,ID,46383,End-Customer,Enterprise,,information technology,180,Quotation or Purchase Consultation,accessories,webOS Box,WP402,manager,LGEAR,more than a year,corporate / office,Mining,191,False
41298,0.5,AS,20075,End-Customer,Enterprise,,administrative,104,Quotation or purchase consultation,single-split,,,partner,LGESP,,,,97,False
57691,0.25,IT,40084,Channel Partner,SMB,3.0,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,retail,Other Stores,206,False
287,0.5,AS,13828,End-Customer,SMB,,engineering,38,Quotation or purchase consultation,vrf,,,director,LGEUS,,corporate / office,,27,False
20019,0.5,AS,24889,End-Customer,Enterprise,,real estate,39,Quotation or purchase consultation,heating,,,manager,LGEUS,,,,730,False
12923,0.75,ID,45615,End Customer,SMB,,sales,176,Quotation or Purchase Consultation,interactive signage,Createboard,98TR3PJ,director,LGEGF,3 months ~ 6 months,,,321,False
43295,0.5,AS,9689,Specifier/ Influencer,Enterprise,9.0,engineering,3,Quotation or purchase consultation,multi v water 5,,,associate/analyst,LGEPS,,,,653,False
23823,1.0,ID,30794,Service Partner,Enterprise,,operations,37,Quotation or Purchase Consultation,standard signage,UH5F-H Series,65UH5F-H,manager,LGESA,less than 3 months,hospital & health care,Hospital,151,False
19582,0.25,AS,47466,End Customer,Enterprise,19.0,,73,Quotation or Purchase Consultation,multi-split,,,none,LGEIL,,,,115,False
31461,0.5,IT,16819,End-Customer,SMB,,administrative,95,Quotation or Purchase Consultation,monitor,,,other,LGECB,,corporate / office,,837,True
18466,0.25,AS,47466,End-Customer,Enterprise,11.0,,76,Quotation or purchase consultation,single-split,,,none,LGEUS,,,,27,False
55456,0.75,AS,42941,Specifier/ Influencer,Enterprise,,sales,71,Quotation or purchase consultation,rac,,,entry level,LGESP,9 months ~ 1 year,residential (home),Apartment,97,False
34713,0.5,ID,35801,End-Customer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
14661,0.5,AS,18047,End-Customer,SMB,,product management,20,Sales Inquiry,single-split,,,manager,LGEPH,,,,29,False
46691,0.25,AS,47466,End-Customer,Enterprise,16.0,,66,Quotation or purchase consultation,multi-split,,,none,LGECL,,,,124,False
45067,0.75,AS,1532,Specifier/ Influencer,SMB,1.0,engineering,84,Usage or technical consultation,all lg vrf systems,,,associate/analyst,LGEPS,,,,81,False
11961,0.25,ID,37415,Channel Partner,SMB,,arts and design,157,Quotation or purchase consultation,interactive signage,,,none,LGEES,,,,197,False
21095,0.75,IT,6790,Channel Partner,SMB,,,51,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,205,False
5251,0.75,ID,42200,Channel Partner,SMB,,quotation curator,405,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
31379,0.25,ID,4805,Channel Partner,Enterprise,,,116,Quotation or Purchase Consultation,,,,none,LGECB,,corporate / office,,344,False
46673,0.25,AS,47466,End-Customer,Enterprise,16.0,,121,Quotation or purchase consultation,multi-split,,,none,LGECL,,,,124,False
41433,0.25,AS,8690,Specifier/ Influencer,SMB,0.0,,3,Quotation or purchase consultation,,,,none,LGETH,,,,737,False
35570,0.5,ID,47442,Service Partner,Enterprise,,entrepreneurship,18,Quotation or Purchase Consultation,hotel tv,,,none,LGETT,3 months ~ 6 months,,,996,True
20292,0.75,IT,28456,Channel Partner,SMB,,,92,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
1519,0.5,ID,28717,End-Customer,SMB,,,67,Quotation or Purchase Consultation,led signage,,,partner,LGEUS,,corporate / office,,335,True
54621,0.25,IT,11543,End Customer,SMB,0.0,,29,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,567,False
46919,0.5,AS,46914,End-Customer,SMB,,engineering,18,Quotation or purchase consultation,vrf,,,trainee,LGEVH,,,,759,False
58523,0.5,AS,10420,End-Customer,SMB,,operations,109,Quotation or purchase consultation,etc.,,,manager,LGEMS,,factory,Manufacturing Factory / Plant,42,False
10889,0.0,ID,20930,End-Customer,SMB,,information technology,206,,webos,,,none,LGEUK,,,,185,False
56209,0.5,AS,29246,Specifier/ Influencer,Enterprise,16.0,engineering,77,Quotation or purchase consultation,multi-split,,,manager,LGEPS,,government department,,81,False
31877,1.0,ID,20198,End-Customer,SMB,,other,19,Quotation or Purchase Consultation,hotel tv,,,manager,LGEMS,less than 3 months,,,459,True
32537,0.75,ID,45188,End-Customer,Enterprise,,arts and design,15,Quotation or Purchase Consultation,standard signage,New High Haze UHD Standard Signage,55UH5J-H,none,LGESL,less than 3 months,,,198,False
3120,0.75,ID,8675,End-Customer,SMB,,using for window display,48,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
24749,0.75,AS,28749,End-Customer,SMB,,engineering,228,Technical Support,multi-split,,,ceo/founder,LGEUS,less than 3 months,residential (home),Villa / Single-Family Home,27,False
43381,0.25,AS,47466,Specifier/ Influencer,Enterprise,3.0,,123,Quotation or purchase consultation,multi-split,,,none,LGEAF,,,,1017,False
25213,0.5,ID,43394,End Customer,SMB,,administrative,80,Quotation or Purchase Consultation,video wall signage,,,none,LGETK,3 months ~ 6 months,government department,,285,False
59294,1.0,AS,33747,End Customer,SMB,,engineering,200,Product Information,vrf,,,entry level,LGEPL,3 months ~ 6 months,public facility,Others,694,False
23529,1.0,ID,46372,End Customer,SMB,,information technology,113,Technical Consultation,video wall signage,"55"" 500 nits FHD 0.44mm Even Bezel Video Wall",55VSM5J,manager,LGEIL,less than 3 months,education,K12 Kindergarten & Schools,174,False
19872,0.75,AS,2390,End Customer,SMB,,administrative,71,Quotation or Purchase Consultation,etc.,,,c-level executive,LGECL,more than a year,,,124,False
23354,0.75,ID,28183,Service Partner,Enterprise,,education,26,Quotation or purchase consultation,led signage,Ultra Slim Series,LSCB025,trainee,LGEIL,less than 3 months,education,Institute & Academy,174,False
19173,1.0,AS,35154,Specifier/ Influencer,Enterprise,,sales,18,Quotation or Purchase Consultation,multi-split,,,ceo/founder,LGECB,more than a year,,,649,False
1695,1.0,IT,15441,End Customer,Enterprise,2.0,business development,13,Quotation or Purchase Consultation,laptop,,,manager,LGEUK,3 months ~ 6 months,corporate / office,,391,False
52705,0.75,ID,20379,End-Customer,Enterprise,,arts and design,12,Quotation or Purchase Consultation,oled signage,Flexible Curved Open Frame,55EF5K-L,ceo/founder,LGEIL,less than 3 months,special purpose,Others,174,False
5,1.0,AS,16328,End-Customer,SMB,,program and project management,1114,Quotation or purchase consultation,chiller,,,manager,LGEAF,less than 3 months,corporate / office,Engineering,5,True
52069,0.25,IT,16573,End-Customer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,,,437,True
31258,1.0,ID,32669,End Customer,Enterprise,,purchasing,91,Quotation or Purchase Consultation,led signage,Outdoor Versatile Series,GSCA039,other,LGEMS,less than 3 months,corporate / office,Others,188,False
13559,0.5,AS,26193,End-Customer,Enterprise,,administrative,3,Quotation or purchase consultation,multi-split,,,manager,LGEPH,,,,616,True
42061,0.25,AS,47466,End-Customer,Enterprise,105.0,,220,Quotation or purchase consultation,vrf,,,none,LGEPL,,,,694,False
46861,0.75,AS,21321,End Customer,Enterprise,,others,56,Quotation or Purchase Consultation,multi-split,,,others,LGECB,more than a year,,,699,False
11427,0.5,ID,42342,End-Customer,SMB,,,231,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
2947,0.75,ID,44864,Other,SMB,,,48,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,205,False
41299,0.5,AS,16079,End-Customer,Enterprise,,administrative,125,Quotation or purchase consultation,multi-split,,,partner,LGESP,,,,97,False
12056,1.0,ID,34563,End Customer,SMB,,purchasing,1138,Quotation or Purchase Consultation,hotel tv,,,manager,LGEAP,less than 3 months,,,307,False
57051,0.5,ID,20737,End Customer,SMB,,,6,Quotation or Purchase Consultation,,,,manager,LGECL,,retail,,580,False
36747,1.0,AS,7121,End-Customer,Enterprise,,purchasing,48,Quotation or purchase consultation,single-split,,,other,LGESP,more than a year,,,97,False
28625,0.75,ID,17610,End-Customer,SMB,,administrative,38,Quotation or Purchase Consultation,one:quick series,One:Quick Flex,43HT3WJ,manager,LGEGF,less than 3 months,factory,Others,176,False
54670,0.25,IT,18239,End Customer,SMB,,,35,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,589,False
28935,0.75,ID,41916,Channel Partner,Enterprise,0.0,program and project management,475,Quotation or purchase consultation,oled signage,Flat OLED Signage,,manager,LGEUK,less than 3 months,transportation,Railway & Metro Station,185,False
21120,0.25,IT,23622,End-Customer,Enterprise,,surgery professional,33,,medical display,Surgical Monitors,,none,LGEIL,less than 3 months,,,404,True
43551,0.25,AS,47466,End-Customer,Enterprise,11.0,,14,Quotation or purchase consultation,single-split,,,none,LGEUS,,,,27,False
19563,0.25,AS,47466,End Customer,Enterprise,19.0,,64,Quotation or Purchase Consultation,etc.,,,none,LGEIL,,,,115,False
54944,0.5,IT,44369,End Customer,SMB,,,33,Quotation or Purchase Consultation,,,,decision maker,LGEUS,,hospital & health care,Others,835,False
15422,0.25,AS,47466,End-Customer,Enterprise,115.0,,251,Quotation or purchase consultation,multi-split,,,none,LGEPH,,,,16,False
32445,0.75,ID,91,End-Customer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
52089,0.25,IT,9324,End-Customer,Enterprise,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,,,437,True
31132,0.25,ID,7122,End-Customer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,corporate / office,,194,False
57483,1.0,AS,914,End-Customer,Enterprise,,administrative,64,Quotation or purchase consultation,multi-split,,,ceo/founder,LGEMS,more than a year,retail,,42,False
18861,1.0,AS,9355,Specifier/ Influencer,SMB,,engineering,3,Usage or technical consultation,ventilation,,,manager,LGECL,3 months ~ 6 months,,,124,False
54583,0.25,IT,45783,End Customer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,374,False
24009,0.25,IT,14746,End Customer,SMB,,,33,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,567,False
33217,0.75,ID,19528,Channel Partner,SMB,,buyer,3,Quotation or Purchase Consultation,,,,none,LGEUS,3 months ~ 6 months,,,194,False
29106,1.0,ID,30579,Channel Partner,Enterprise,,,3,Quotation or purchase consultation,interactive digital board,OneQuick Flex,43HT3WJ,vice president,LGEIL,less than 3 months,public facility,,174,False
566,1.0,ID,37141,End-Customer,SMB,,business development,218,Quotation or purchase consultation,video wall signage,,,associate/analyst,LGESJ,less than 3 months,corporate / office,IT/Software,153,False
52811,0.5,ID,15635,End-Customer,Enterprise,,other,26,Quotation or Purchase Consultation,interactive signage,Interactive Digital Board,,ceo/founder,LGECB,,special purpose,Others,187,False
15056,0.5,AS,34813,End-Customer,Enterprise,,business development,16,Sales Inquiry,single-split,,,other,LGEPH,,,,16,False
1585,1.0,IT,30845,End-Customer,SMB,,consulting,347,Quotation or Purchase Consultation,monitor,,,c-level executive,LGESP,less than 3 months,corporate / office,IT/Software,396,False
15252,0.5,AS,37515,End-Customer,SMB,,entrepreneurship,3,Quotation or purchase consultation,vrf,,,director,LGEPH,,,,59,False
47081,0.5,AS,47466,End Customer,Enterprise,16.0,,122,Quotation or Purchase Consultation,multi-split,,,none,LGEAR,less than 3 months,,,763,False
2982,0.75,ID,28088,End-Customer,Enterprise,0.0,,35,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
1575,1.0,IT,46353,End-Customer,Enterprise,,consulting,176,Quotation or Purchase Consultation,monitor,,,manager,LGECI,less than 3 months,corporate / office,Consulting,293,False
5222,0.75,ID,5985,End-Customer,Enterprise,,owner,11,Quotation or purchase consultation,,,,none,LGEUS,less than 3 months,,,194,False
5212,0.75,ID,45864,Specifier/ Influencer,SMB,,project manager,155,Quotation or purchase consultation,,,,none,LGEUS,less than 3 months,,,194,False
29955,1.0,AS,35176,Specifier/ Influencer,Enterprise,,entrepreneurship,84,Quotation or Purchase Consultation,etc.,,,entry level,LGESP,more than a year,corporate / office,,97,False
26300,1.0,ID,28736,End Customer,SMB,,operations,136,Quotation or Purchase Consultation,standard signage,LT340C Series,32LT340C (ASIA),ceo/founder,LGESL,less than 3 months,retail,Other Stores,198,False
42953,0.5,AS,43541,Specifier/ Influencer,Enterprise,,engineering,7,Quotation or purchase consultation,rac,,,trainee,LGEVH,,,,643,False
18429,0.25,AS,47466,End-Customer,Enterprise,11.0,,156,Quotation or purchase consultation,etc.,,,none,LGEUS,,,,27,False
56119,1.0,ID,20807,End Customer,SMB,,media and communication,278,Quotation or Purchase Consultation,interactive signage,Interactive Digital Board,,ceo/founder,LGECB,less than 3 months,government department,,187,True
29616,0.5,AS,18369,End-Customer,SMB,,administrative,732,Quotation or purchase consultation,vrf,,,manager,LGESP,,corporate / office,Law Firm,97,False
23841,0.75,ID,2671,End Customer,SMB,,healthcare services,164,Quotation or Purchase Consultation,hospital tv,,,manager,LGEUS,less than 3 months,hospital & health care,,541,False
427,0.75,ID,9926,End Customer,SMB,,information technology,63,Quotation or purchase consultation,video wall signage,,,director,LGECI,less than 3 months,corporate / office,IT/Software,171,True
26895,0.25,ID,32897,End Customer,SMB,,purchasing,52,,43us660h0sd.awz,,,associate/analyst,LGESP,,hotel & accommodation,Hotel,487,True
45996,0.5,AS,4935,Specifier/ Influencer,Enterprise,,arts and design,46,Quotation or purchase consultation,single-split,,,other,LGESP,,,,97,False
29255,0.75,AS,35325,End Customer,Enterprise,,sales,21,Quotation or Purchase Consultation,multi-split,,,manager,LGEIL,more than a year,public facility,,9,False
56312,1.0,ID,41564,End-Customer,Enterprise,,information technology,68,Quotation or Purchase Consultation,video wall signage,,,associate/analyst,LGECB,6 months ~ 9 months,retail,Electronics & Telco,344,False
52084,0.25,IT,23042,End-Customer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,,,436,True
56062,0.25,ID,2310,End-Customer,Enterprise,,business development,3,Quotation or Purchase Consultation,,,,none,LGECB,,government department,,233,False
146,1.0,AS,1071,End-Customer,Enterprise,1.0,business development,8,Product Information,vrf,,,manager,LGECB,6 months ~ 9 months,corporate / office,,40,False
20011,0.5,AS,44121,End Customer,Enterprise,1.0,accounting,3,Quotation or Purchase Consultation,vrf,,,ceo/founder,LGEUS,,,,730,False
37726,0.75,AS,45028,End-Customer,Enterprise,,engineering,231,Quotation or purchase consultation,rac,,,ceo/founder,LGESP,more than a year,,,38,False
13586,0.5,AS,27737,Homeowner,SMB,0.0,engineering,4,Quotation or purchase consultation,vrf,,,entry level,LGEPH,,,,16,True
30105,1.0,AS,28172,End-Customer,Enterprise,,entrepreneurship,41,Quotation or Purchase Consultation,multi-split,,,ceo/founder,LGESP,9 months ~ 1 year,corporate / office,Others,97,False
44275,1.0,AS,22255,End-Customer,Enterprise,,engineering,3,Quotation or purchase consultation,"vrf,single-split",,,ceo/founder,LGEPH,3 months ~ 6 months,,,599,False
52063,0.25,IT,16325,End-Customer,Enterprise,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,,,,374,False
54629,0.25,IT,9300,End Customer,SMB,,,30,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,833,False
5256,0.75,ID,44125,End-Customer,Enterprise,,tech,91,Quotation or purchase consultation,,,,none,LGEUS,less than 3 months,,,194,False
36750,1.0,AS,7100,End-Customer,SMB,,purchasing,133,Other,etc.,,,other,LGESP,more than a year,,,38,False
24021,0.25,IT,18021,End Customer,SMB,,,33,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,567,False
58419,0.75,AS,44187,End-Customer,SMB,,engineering,47,Quotation or purchase consultation,vrf,,,partner,LGESP,,factory,Others,23,False
30595,1.0,ID,10922,Specifier/ Influencer,SMB,,operations,104,Quotation or Purchase Consultation,video wall signage,,,partner,LGESP,less than 3 months,corporate / office,Telecommunication,167,False
34780,0.5,ID,35969,End-Customer,SMB,,,60,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
46704,0.5,AS,47466,End Customer,Enterprise,16.0,,145,Quotation or Purchase Consultation,multi-split,,,none,LGECL,more than a year,,,124,False
19588,0.25,AS,47466,End Customer,Enterprise,19.0,,39,Quotation or Purchase Consultation,etc.,,,none,LGEIL,,,,115,False
21003,0.75,IT,43917,End-Customer,SMB,,military and protective services,230,Quotation or Purchase Consultation,projector,,,other,LGEJP,less than 3 months,,,790,False
12992,0.75,ID,35798,End-Customer,SMB,,purchasing,78,Quotation or purchase consultation,hotel tv,,,partner,LGETK,less than 3 months,,,285,False
47311,0.25,AS,24494,Installer/Contractor,Enterprise,,,109,Quotation or Purchase Consultation,,,,none,LGEIS,,,,341,False
47708,1.0,AS,7548,End-Customer,Enterprise,,sales,163,Quotation or Purchase Consultation,etc.,,,manager,LGESP,more than a year,,,97,False
13247,0.25,ID,20543,End Customer,SMB,1.0,sales,111,Quotation or Purchase Consultation,interactive signage,,,none,LGEHK,,,,337,False
21546,0.25,IT,45707,End Customer,SMB,,,23,Quotation or Purchase Consultation,,,,none,LGEUS,,,,831,False
47102,0.5,AS,42067,Specifier/ Influencer,SMB,0.0,administrative,3,Quotation or Purchase Consultation,chiller,,,partner,LGEAF,,,,114,False
54615,0.25,IT,22756,End Customer,SMB,,,35,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,589,False
54837,0.25,IT,19157,End Customer,SMB,,,35,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,589,False
46819,0.75,AS,12653,End Customer,SMB,,sales,116,Quotation or Purchase Consultation,heating,,,partner,LGEPL,more than a year,,,694,False
31370,0.75,ID,44170,End Customer,SMB,,information technology,84,Quotation or Purchase Consultation,interactive signage,,,associate/analyst,LGECL,less than 3 months,corporate / office,,357,False
20250,1.0,IT,12010,End-Customer,SMB,,information technology,10,Quotation or Purchase Consultation,projector,,,associate/analyst,LGEPH,less than 3 months,,,267,False
32379,1.0,ID,3204,End-Customer,SMB,,other,21,Other,hotel tv,4K UHD Hospitality TV with Pro:Centric Direct,43US660H (NA),manager,LGETK,less than 3 months,,,285,False
35522,0.5,ID,30634,End Customer,Enterprise,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,3 months ~ 6 months,,,205,False
54898,0.25,IT,7643,End Customer,Enterprise,,,35,Quotation or Purchase Consultation,,,,none,LGEUS,,hospital & health care,Others,589,False
57285,0.75,AS,25537,End-Customer,Enterprise,,,84,Sales Inquiry,etc.,,,manager,LGESP,6 months ~ 9 months,retail,Shopping Mall,38,False
57147,1.0,AS,25309,End-Customer,Enterprise,19.0,other,34,Quotation or Purchase Consultation,rac,,,other,LGEIL,more than a year,retail,,600,False
36252,0.75,AS,37928,Specifier/ Influencer,Enterprise,,entrepreneurship,27,Services,vrf,,,manager,LGEPS,,,,651,False
22184,1.0,ID,23285,End-Customer,SMB,,arts and design,242,Quotation or purchase consultation,oled signage,Transparent OLED Signage,55EW5PG-S,ceo/founder,LGEUK,less than 3 months,special purpose,Others,185,False
42052,0.25,AS,47466,End-Customer,Enterprise,105.0,,130,Quotation or purchase consultation,rac,,,none,LGEPL,,,,694,False
25385,0.75,ID,22918,End-Customer,Enterprise,,other,24,Quotation or Purchase Consultation,video wall signage,"55"" 500 nits FHD 0.44mm Even Bezel Video Wall",55VSM5J,ceo/founder,LGEEF,,retail,Electronics & Telco,218,False
5177,0.75,ID,40811,End-Customer,SMB,,,193,Quotation or purchase consultation,,,,none,LGEUS,less than 3 months,,,194,False
22244,1.0,ID,26086,End-Customer,SMB,,arts and design,75,Quotation or Purchase Consultation,software solution,,,ceo/founder,LGEUS,6 months ~ 9 months,special purpose,,328,False
34764,0.5,ID,5247,End-Customer,SMB,,,3,Quotation or Purchase Consultation,,,,none,LGEUS,less than 3 months,,,194,False
8396,0.5,ID,33206,End-Customer,SMB,,education,49,Quotation or purchase consultation,interactive signage,Interactive Digital Board,75TC3D,ceo/founder,LGEIL,,,,174,False
21964,0.5,ID,24481,Specifier/ Influencer,SMB,,marketing,50,Quotation or purchase consultation,led signage,Outdoor Versatile Series,,ceo/founder,LGEIL,,special purpose,,145,False
