bant_submit,business_unit,customer_idx,customer_type,enterprise,historical_existing_cnt,customer_job,lead_desc_length,inquiry_type,product_category,product_subcategory,product_modelname,customer_position,response_corporate,expected_timeline,business_area,business_subarea,lead_owner,is_converted
0.75,AS,1901,Specifier/ Influencer,SMB,,engineering,129,Quotation or purchase consultation,vrf,,,entry level,LGESL,less than 3 months,corporate / office,Engineering,14,True
0.5,AS,46362,Channel Partner,SMB,47.0,engineering,3,Quotation or purchase consultation,single-split,,,director,LGESL,,corporate / office,,14,True
1.0,AS,14295,End-Customer,SMB,,engineering,407,Quotation or Purchase Consultation,vrf,,,manager,LGEIL,less than 3 months,corporate / office,Developer/Property,18,False
1.0,AS,33229,End-Customer,Enterprise,,consulting,75,Quotation or purchase consultation,multi-split,,,manager,LGEIL,less than 3 months,corporate / office,Entertainment,19,False
0.75,AS,39810,End-Customer,SMB,,purchasing,71,Quotation or purchase consultation,etc.,,,other,LGEIL,,corporate / office,Manufacturing,21,False
1.0,AS,20437,Specifier/ Influencer,Enterprise,1.0,engineering,113,Quotation or purchase consultation,rac,,,partner,LGEIL,less than 3 months,corporate / office,Engineering,22,False
1.0,AS,44685,End-Customer,Enterprise,,purchasing,142,Quotation or purchase consultation,vrf,,,manager,LGEGF,less than 3 months,corporate / office,Construction,24,False
1.0,AS,4504,End-Customer,SMB,,purchasing,76,Quotation or purchase consultation,vrf,,,manager,LGEGF,less than 3 months,corporate / office,Construction,25,False
1.0,AS,29418,Specifier/ Influencer,Enterprise,,engineering,334,Quotation or Purchase Consultation,vrf,,,vice president,LGEGF,less than 3 months,corporate / office,Construction,25,False
1.0,AS,42282,Specifier/ Influencer,SMB,,business development,205,Quotation or purchase consultation,single-split,,,ceo/founder,LGESA,less than 3 months,corporate / office,Construction,26,False
1.0,AS,22295,Specifier/ Influencer,SMB,,business development,62,Product Information,etc.,,,ceo/founder,LGEUS,3 months ~ 6 months,corporate / office,Agriculture,27,False
1.0,AS,981,End-Customer,Enterprise,,engineering,197,Quotation or purchase consultation,vrf,,,manager,LGESJ,3 months ~ 6 months,corporate / office,Pharmaceutical,13,False
1.0,AS,31698,Specifier/ Influencer,Enterprise,1.0,operations,46,Other,rac,,,ceo/founder,LGEPH,less than 3 months,corporate / office,Engineering,28,False
1.0,AS,22987,Specifier/ Influencer,Enterprise,,engineering,33,Quotation or Purchase Consultation,multi-split,,,manager,LGEPH,less than 3 months,corporate / office,Construction,29,False
1.0,AS,17727,Specifier/ Influencer,Enterprise,,purchasing,69,Quotation or purchase consultation,multi-split,,,ceo/founder,LGEIL,less than 3 months,corporate / office,Construction,30,False
1.0,AS,41106,End-Customer,SMB,,administrative,30,Quotation or purchase consultation,multi-split,,,ceo/founder,LGEIL,less than 3 months,corporate / office,IT/Software,31,False
1.0,AS,14937,End-Customer,Enterprise,,administrative,181,Quotation or purchase consultation,single-split,,,ceo/founder,LGEIL,less than 3 months,corporate / office,Engineering,32,False
1.0,AS,10939,End-Customer,Enterprise,,other,63,Quotation or purchase consultation,rac,,,ceo/founder,LGEIL,less than 3 months,corporate / office,Others,18,False
1.0,AS,3529,End-Customer,SMB,,business development,199,Quotation or purchase consultation,single-split,,,ceo/founder,LGEIL,less than 3 months,corporate / office,IT/Software,9,False
1.0,AS,35843,End-Customer,Enterprise,,administrative,32,Quotation or purchase consultation,rac,,,ceo/founder,LGEIL,9 months ~ 1 year,corporate / office,,9,False
1.0,AS,27399,End-Customer,SMB,,operations,26,Quotation or purchase consultation,multi-split,,,manager,LGEIL,less than 3 months,corporate / office,Manufacturing,3,False
1.0,AS,34732,End-Customer,Enterprise,,accounting,37,Quotation or purchase consultation,chiller,,,manager,LGEIL,less than 3 months,corporate / office,Agriculture,2,False
0.75,AS,39870,End-Customer,Enterprise,,entrepreneurship,23,Quotation or purchase consultation,vrf,,,director,LGEIL,,corporate / office,Banking,11,False
1.0,AS,42103,End-Customer,SMB,,administrative,82,Quotation or purchase consultation,vrf,,,director,LGEIL,less than 3 months,corporate / office,IT/Software,36,False
0.75,AS,47466,End-Customer,Enterprise,19.0,information technology,526,Usage or technical consultation,multi-split,,,director,LGEIL,,corporate / office,IT/Software,21,False
1.0,AS,42158,End-Customer,SMB,,accounting,38,Quotation or Purchase Consultation,multi-split,,,partner,LGEIL,less than 3 months,corporate / office,Consulting,37,False
1.0,AS,8342,End-Customer,SMB,0.0,administrative,41,Quotation or Purchase Consultation,software solution,,,intern,LGESP,less than 3 months,corporate / office,,38,False
1.0,AS,2148,End-Customer,SMB,,administrative,77,Quotation or Purchase Consultation,multi-split,,,manager,LGEGF,less than 3 months,corporate / office,Manufacturing,25,False
1.0,AS,38919,End-Customer,SMB,,operations,137,Quotation or Purchase Consultation,etc.,,,associate/analyst,LGEGF,less than 3 months,corporate / office,,25,False
1.0,AS,26427,Specifier/ Influencer,SMB,,education,13,Quotation or purchase consultation,single-split,,,ceo/founder,LGESA,less than 3 months,corporate / office,IT/Software,26,False
0.75,AS,13518,Specifier/ Influencer,SMB,,entrepreneurship,9,Trainings,all lg vrf systems,,,ceo/founder,LGECB,,corporate / office,Engineering,39,False
1.0,AS,15894,Specifier/ Influencer,Enterprise,0.0,engineering,12,Product Information,all lg vrf systems,,,ceo/founder,LGEMS,3 months ~ 6 months,corporate / office,,42,False
1.0,AS,27850,Specifier/ Influencer,Enterprise,,engineering,8,Quotation or purchase consultation,a thermodynamic water heater,,,director,LGEMS,3 months ~ 6 months,corporate / office,,42,False
1.0,AS,19258,End-Customer,SMB,,healthcare services,283,Quotation or purchase consultation,rac,,,ceo/founder,LGEAF,less than 3 months,corporate / office,Healthcare,43,False
0.75,AS,30877,End-Customer,SMB,,business development,164,Quotation or purchase consultation,rac,,,entry level,LGEAF,,corporate / office,Engineering,12,False
1.0,AS,11674,Specifier/ Influencer,Enterprise,,other,85,Quotation or purchase consultation,etc.,,,ceo/founder,LGEUS,less than 3 months,corporate / office,Engineering,27,False
1.0,AS,15347,Specifier/ Influencer,SMB,,business development,94,Quotation or purchase consultation,vrf,,,manager,LGESJ,less than 3 months,corporate / office,Engineering,44,False
1.0,AS,6207,Specifier/ Influencer,Enterprise,,entrepreneurship,43,Quotation or purchase consultation,etc.,,,ceo/founder,LGEPH,less than 3 months,corporate / office,Others,46,False
1.0,AS,32160,End-Customer,Enterprise,,entrepreneurship,94,Quotation or purchase consultation,etc.,,,ceo/founder,LGEPH,3 months ~ 6 months,corporate / office,Engineering,47,False
0.75,AS,32098,End-Customer,Enterprise,,administrative,66,Quotation or purchase consultation,single-split,,,associate/analyst,LGEPH,,corporate / office,Others,15,False
0.75,AS,13231,End-Customer,Enterprise,,engineering,109,Quotation or purchase consultation,multi-split,,,vice president,LGEPH,,corporate / office,,46,False
1.0,AS,3397,End-Customer,Enterprise,,administrative,29,Quotation or purchase consultation,etc.,,,trainee,LGEPH,3 months ~ 6 months,corporate / office,Construction,29,False
1.0,AS,34270,End-Customer,SMB,,healthcare services,17,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIL,less than 3 months,corporate / office,,48,False
1.0,AS,7531,End-Customer,SMB,17.0,business development,23,Quotation or purchase consultation,etc.,,,ceo/founder,LGEIL,less than 3 months,corporate / office,,49,False
1.0,AS,21729,End-Customer,SMB,,administrative,127,Quotation or Purchase Consultation,etc.,,,director,LGEIL,less than 3 months,corporate / office,Healthcare,18,False
1.0,AS,24066,Specifier/ Influencer,Enterprise,,purchasing,89,Quotation or purchase consultation,vrf,,,director,LGEIL,less than 3 months,corporate / office,Construction,50,False
1.0,AS,2223,End-Customer,Enterprise,,purchasing,285,Quotation or purchase consultation,single-split,,,other,LGEGF,3 months ~ 6 months,corporate / office,,25,False
1.0,AS,36438,Specifier/ Influencer,SMB,,operations,143,Quotation or purchase consultation,vrf,,,partner,LGEEG,3 months ~ 6 months,corporate / office,Construction,51,False
1.0,AS,24665,End-Customer,Enterprise,,business development,253,Quotation or purchase consultation,multi-split,,,ceo/founder,LGEAF,less than 3 months,corporate / office,Consulting,52,False
1.0,AS,28919,Specifier/ Influencer,Enterprise,20.0,engineering,12,Quotation or purchase consultation,vrf,,,associate/analyst,LGESP,more than a year,corporate / office,Engineering,38,False
1.0,AS,2977,End-Customer,SMB,,engineering,43,Quotation or purchase consultation,vrf,,,director,LGEAP,less than 3 months,corporate / office,Banking,55,False
1.0,AS,46447,End-Customer,Enterprise,,purchasing,44,Other,rac,,,ceo/founder,LGEGF,3 months ~ 6 months,corporate / office,Construction,25,False
1.0,AS,25254,End-Customer,SMB,,business development,141,Quotation or purchase consultation,vrf,,,director,LGECB,less than 3 months,corporate / office,Construction,40,False
0.75,AS,5263,Specifier/ Influencer,Enterprise,,purchasing,235,Quotation or purchase consultation,etc.,,,entry level,LGEPH,,corporate / office,Construction,0,False
0.75,AS,39007,Specifier/ Influencer,Enterprise,,entrepreneurship,84,Quotation or purchase consultation,rac,,,ceo/founder,LGEIL,,corporate / office,,34,False
1.0,AS,39568,Specifier/ Influencer,Enterprise,,engineering,156,Quotation or purchase consultation,vrf,,,director,LGEAP,3 months ~ 6 months,corporate / office,Construction,55,False
1.0,AS,1071,End-Customer,Enterprise,1.0,business development,8,Product Information,vrf,,,manager,LGECB,6 months ~ 9 months,corporate / office,,40,False
1.0,AS,14669,Specifier/ Influencer,SMB,,marketing,1072,Quotation or purchase consultation,vrf,,,director,LGEEG,less than 3 months,corporate / office,Engineering,51,False
1.0,AS,10351,Specifier/ Influencer,SMB,,engineering,63,Quotation or purchase consultation,etc.,,,manager,LGEPS,more than a year,corporate / office,Engineering,80,False
1.0,AS,25583,Specifier/ Influencer,SMB,,consulting,12,Quotation or purchase consultation,etc.,,,partner,LGEEF,less than 3 months,corporate / office,Consulting,54,False
1.0,AS,8457,End-Customer,Enterprise,,business development,14,Services,vrf,,,vice president,LGEIL,less than 3 months,corporate / office,Advertising,37,False
1.0,AS,12478,End-Customer,SMB,,finance,18,Quotation or purchase consultation,multi-split,,,manager,LGESP,more than a year,corporate / office,Finance,38,False
0.5,AS,10634,Specifier/ Influencer,Enterprise,,engineering,60,Quotation or purchase consultation,heating,,,ceo/founder,LGEPH,,corporate / office,Construction,61,False
0.75,AS,11049,End-Customer,Enterprise,,business development,29,Quotation or purchase consultation,multi-split,,,ceo/founder,LGEPH,less than 3 months,corporate / office,,16,False
0.5,AS,8596,End-Customer,Enterprise,,engineering,313,Quotation or purchase consultation,vrf,,,manager,LGEPH,,corporate / office,Construction,83,False
0.5,AS,16342,End-Customer,SMB,,engineering,451,Quotation or purchase consultation,rac,,,manager,LGEPH,,corporate / office,Construction,0,False
0.5,AS,13508,Specifier/ Influencer,Enterprise,,marketing,212,Quotation or purchase consultation,chiller,,,manager,LGEPH,,corporate / office,Others,61,False
0.5,AS,23208,End-Customer,Enterprise,1.0,operations,151,Quotation or purchase consultation,vrf,,,manager,LGEPH,,corporate / office,Construction,0,False
0.5,AS,24309,End-Customer,Enterprise,,human resources,119,Quotation or purchase consultation,rac,,,manager,LGEPH,,corporate / office,,83,False
0.5,AS,38169,End-Customer,SMB,,engineering,165,Quotation or purchase consultation,vrf,,,associate/analyst,LGEPH,,corporate / office,,83,False
0.5,AS,24709,End-Customer,Enterprise,,purchasing,71,Quotation or purchase consultation,etc.,,,associate/analyst,LGEPH,,corporate / office,Pharmaceutical,46,False
0.5,AS,42780,End-Customer,Enterprise,,support,62,Quotation or purchase consultation,single-split,,,associate/analyst,LGEPH,,corporate / office,,46,False
0.75,AS,23014,End-Customer,Enterprise,0.0,purchasing,8,Quotation or purchase consultation,vrf,,,entry level,LGEPH,less than 3 months,corporate / office,Construction,29,False
0.5,AS,37027,End-Customer,SMB,,purchasing,115,Quotation or purchase consultation,single-split,,,other,LGEPH,,corporate / office,,0,False
0.5,AS,1976,Specifier/ Influencer,Enterprise,,other,119,Quotation or purchase consultation,rac,,,other,LGEPH,,corporate / office,Construction,1,False
0.75,AS,32047,End-Customer,SMB,,arts and design,217,Product Information,vrf,,,other,LGEPH,less than 3 months,corporate / office,Others,16,False
0.5,AS,28473,End-Customer,Enterprise,,consulting,43,Quotation or purchase consultation,multi v5 vrf,,,manager,LGEEF,,corporate / office,,62,False
0.75,AS,33879,End-Customer,Enterprise,,engineering,29,Quotation or purchase consultation,chiller,,,director,LGEIN,less than 3 months,corporate / office,Construction,86,False
0.75,AS,16441,End-Customer,Enterprise,,entrepreneurship,101,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIL,less than 3 months,corporate / office,Others,30,False
0.75,AS,43627,End-Customer,Enterprise,,healthcare services,219,Quotation or purchase consultation,vrf,,,ceo/founder,LGEIL,less than 3 months,corporate / office,Healthcare,36,False
0.75,AS,19579,End-Customer,SMB,,operations,95,Quotation or purchase consultation,multi-split,,,manager,LGEIL,less than 3 months,corporate / office,,92,False
0.75,AS,39911,End-Customer,Enterprise,,real estate,58,Quotation or purchase consultation,chiller,,,manager,LGEIL,3 months ~ 6 months,corporate / office,Construction,93,False
0.75,AS,15379,End-Customer,Enterprise,,engineering,90,Quotation or purchase consultation,vrf,,,associate/analyst,LGEIL,less than 3 months,corporate / office,Manufacturing,11,False
0.5,AS,1787,Specifier/ Influencer,Enterprise,5.0,engineering,54,Quotation or purchase consultation,single-split,,,director,LGEIL,,corporate / office,Developer/Property,90,False
0.5,AS,39059,End-Customer,SMB,,administrative,73,Quotation or purchase consultation,vrf,,,director,LGEIL,,corporate / office,,95,False
0.5,AS,41678,End-Customer,SMB,,entrepreneurship,61,Quotation or purchase consultation,single-split,,,director,LGEIL,,corporate / office,Others,90,False
0.5,AS,15037,End-Customer,Enterprise,,consulting,189,Quotation or purchase consultation,rac,,,director,LGEIL,,corporate / office,Broadcasting & Media,90,False
0.5,AS,39711,End-Customer,SMB,,information technology,58,Quotation or purchase consultation,multi-split,,,director,LGEIL,,corporate / office,IT/Software,37,False
0.5,AS,41114,End-Customer,SMB,,information technology,126,Quotation or purchase consultation,vrf,,,director,LGEIL,,corporate / office,,32,False
0.75,AS,6396,End-Customer,SMB,,engineering,40,Quotation or purchase consultation,multi-split,,,director,LGEIL,less than 3 months,corporate / office,Construction,88,False
0.75,AS,22929,End-Customer,SMB,,engineering,223,Quotation or purchase consultation,multi-split,,,director,LGEIL,less than 3 months,corporate / office,Distribution Center,17,False
0.75,AS,34762,End-Customer,Enterprise,,other,22,Quotation or purchase consultation,multi-split,,,director,LGEIL,less than 3 months,corporate / office,,37,False
0.5,AS,29651,End-Customer,Enterprise,,legal,53,Quotation or purchase consultation,multi-split,,,vice president,LGEIL,,corporate / office,,76,False
0.75,AS,42394,Specifier/ Influencer,SMB,0.0,engineering,21,Quotation or purchase consultation,multi-split,,,partner,LGEIL,less than 3 months,corporate / office,Construction,37,False
0.5,AS,11918,Specifier/ Influencer,SMB,,engineering,3,Trainings,vrf,,,manager,LGESP,,corporate / office,,97,False
0.5,AS,5328,End-Customer,SMB,,education,24,Quotation or purchase consultation,single-split,,,director,LGESP,,corporate / office,Others,23,False
0.5,AS,26764,End-Customer,Enterprise,,purchasing,8,Quotation or purchase consultation,rac,,,director,LGESP,,corporate / office,,23,False
0.75,AS,4357,End-Customer,SMB,,business development,171,Quotation or purchase consultation,single-split,,,director,LGEAP,less than 3 months,corporate / office,Engineering,98,False
0.5,AS,6478,End-Customer,SMB,,purchasing,252,Quotation or purchase consultation,rac,,,manager,LGEGF,,corporate / office,Others,25,False
0.5,AS,12779,End-Customer,SMB,,administrative,78,Quotation or purchase consultation,single-split,,,manager,LGEGF,,corporate / office,Construction,25,False
0.5,AS,4044,End-Customer,SMB,,administrative,30,Quotation or purchase consultation,multi-split,,,manager,LGEGF,,corporate / office,,25,False
0.75,AS,14049,Specifier/ Influencer,SMB,,engineering,381,Quotation or purchase consultation,vrf,,,manager,LGEGF,less than 3 months,corporate / office,Construction,25,False
0.5,AS,29555,Specifier/ Influencer,SMB,4.0,consulting,96,Quotation or purchase consultation,vrf,,,other,LGEGF,,corporate / office,,25,False
0.5,AS,10846,Specifier/ Influencer,Enterprise,,entrepreneurship,158,Quotation or purchase consultation,multi-split,,,ceo/founder,LGESA,,corporate / office,Construction,26,False
0.75,AS,43292,End-Customer,SMB,,other,250,Quotation or purchase consultation,etc.,,,c-level executive,LGESA,less than 3 months,corporate / office,Others,26,False
0.75,AS,27047,End-Customer,SMB,,other,70,Quotation or purchase consultation,vrf,,,ceo/founder,LGEEG,less than 3 months,corporate / office,Consulting,51,False
0.75,AS,18480,Corporate,Enterprise,,business development,2,Other,all lg vrf systems,,,manager,LGEPS,6 months ~ 9 months,corporate / office,,80,False
0.5,AS,28963,Specifier/ Influencer,SMB,,engineering,307,Quotation or purchase consultation,multi-split,,,associate/analyst,LGEAF,,corporate / office,Energy,104,False
0.25,AS,34720,Specifier/ Influencer,Enterprise,6.0,,2,Quotation or purchase consultation,rac,,,none,LGEAF,,corporate / office,Construction,5,False
0.5,AS,14648,Specifier/ Influencer,SMB,,operations,216,Trainings,vrf,,,ceo/founder,LGEUS,,corporate / office,Construction,27,False
0.5,AS,29589,End-Customer,SMB,,product management,112,Quotation or purchase consultation,vrf,,,other,LGEUS,,corporate / office,Others,27,False
0.5,AS,13828,End-Customer,SMB,,engineering,38,Quotation or purchase consultation,vrf,,,director,LGEUS,,corporate / office,,27,False
0.75,AS,24560,Specifier/ Influencer,SMB,,purchasing,105,Quotation or purchase consultation,rac,,,intern,LGEUS,less than 3 months,corporate / office,Others,27,False
0.5,AS,18075,End-Customer,Enterprise,0.0,engineering,28,Quotation or purchase consultation,vrf,,,manager,LGESJ,,corporate / office,Engineering,44,False
0.75,AS,28115,End-Customer,Enterprise,,purchasing,301,Services,chiller,,,manager,LGESL,3 months ~ 6 months,corporate / office,IT/Software,111,False
0.5,AS,46362,Channel Partner,SMB,47.0,engineering,18,Sales Inquiry,single-split,,,director,LGESL,,corporate / office,,14,False
0.5,AS,46362,Channel Partner,SMB,47.0,engineering,11,Quotation or purchase consultation,single-split,,,director,LGESL,,corporate / office,,73,False
0.75,AS,39606,Specifier/ Influencer,SMB,,business development,360,Quotation or purchase consultation,etc.,,,director,LGESL,less than 3 months,corporate / office,Engineering,112,False
1.0,AS,543,End-Customer,Enterprise,,operations,71,Quotation or Purchase Consultation,etc.,,,intern,LGEPH,less than 3 months,corporate / office,Construction,16,False
1.0,AS,17913,Specifier/ Influencer,Enterprise,0.0,research,123,Product Information,vrf,,,trainee,LGEIL,more than a year,corporate / office,Construction,35,False
1.0,AS,42067,End-Customer,SMB,0.0,arts and design,4,Other,vrf,,,ceo/founder,LGEAF,3 months ~ 6 months,corporate / office,,114,False
1.0,AS,27309,End-Customer,SMB,,information technology,17,Quotation or Purchase Consultation,single-split,,,c-level executive,LGESP,3 months ~ 6 months,corporate / office,IT/Software,97,False
1.0,AS,27309,End Customer,SMB,,information technology,17,Quotation or Purchase Consultation,single-split,,,c-level executive,LGESP,3 months ~ 6 months,corporate / office,IT/Software,97,False
1.0,AS,30958,End-Customer,SMB,,business development,302,Quotation or purchase consultation,etc.,,,manager,LGESA,more than a year,corporate / office,IT/Software,26,False
1.0,AS,30958,End-Customer,SMB,,business development,302,Quotation or purchase consultation,etc.,,,manager,LGESA,more than a year,corporate / office,IT/Software,26,False
1.0,AS,30958,End Customer,SMB,,business development,302,Quotation or Purchase Consultation,etc.,,,manager,LGESA,more than a year,corporate / office,IT/Software,26,False
1.0,AS,30958,End Customer,SMB,,business development,302,Quotation or Purchase Consultation,etc.,,,manager,LGESA,more than a year,corporate / office,IT/Software,26,False
1.0,AS,41452,End Customer,SMB,,operations,238,Quotation or Purchase Consultation,vrf,,,director,LGELF,less than 3 months,corporate / office,Construction,117,False
1.0,AS,41452,Specifier/ Influencer,SMB,,operations,238,Quotation or Purchase Consultation,vrf,,,director,LGELF,less than 3 months,,,117,False
1.0,AS,6634,End-Customer,Enterprise,,purchasing,103,Quotation or Purchase Consultation,etc.,,,manager,LGEPH,less than 3 months,corporate / office,,119,False
1.0,AS,6634,End Customer,Enterprise,,purchasing,103,Quotation or Purchase Consultation,etc.,,,manager,LGEPH,less than 3 months,corporate / office,,119,False
1.0,AS,43588,End-Customer,SMB,,purchasing,61,Quotation or Purchase Consultation,etc.,,,manager,LGEPH,less than 3 months,corporate / office,Others,120,False
1.0,AS,43588,End Customer,SMB,,purchasing,61,Quotation or Purchase Consultation,etc.,,,manager,LGEPH,less than 3 months,corporate / office,Others,120,False
1.0,AS,35831,End Customer,Enterprise,1.0,administrative,386,Quotation or Purchase Consultation,vrf,,,manager,LGEPH,less than 3 months,corporate / office,Construction,15,True
1.0,AS,35560,End Customer,Enterprise,,real estate,21,Quotation or Purchase Consultation,multi-split,,,ceo/founder,LGEIL,less than 3 months,corporate / office,Construction,18,False
1.0,AS,45315,End Customer,Enterprise,,engineering,30,Quotation or Purchase Consultation,vrf,,,ceo/founder,LGEIL,less than 3 months,corporate / office,Construction,22,False
1.0,AS,42175,Specifier/ Influencer,Enterprise,,arts and design,32,Quotation or Purchase Consultation,rac,,,other,LGEIL,less than 3 months,corporate / office,,19,False
1.0,AS,42175,Specifier/ Influencer,Enterprise,,arts and design,32,Quotation or Purchase Consultation,etc.,,,others,LGEIL,less than 3 months,corporate / office,,19,False
1.0,AS,5003,End Customer,SMB,,entrepreneurship,28,Quotation or Purchase Consultation,single-split,,,director,LGEIL,less than 3 months,corporate / office,Construction,90,False
1.0,AS,45191,End-Customer,Enterprise,,healthcare services,77,Quotation or Purchase Consultation,multi-split,,,partner,LGEIL,less than 3 months,corporate / office,Others,116,True
1.0,AS,45191,End Customer,Enterprise,,healthcare services,77,Quotation or Purchase Consultation,multi-split,,,partner,LGEIL,less than 3 months,corporate / office,Others,116,True
1.0,AS,37216,End Customer,SMB,,purchasing,637,Quotation or Purchase Consultation,multi-split,,,associate/analyst,LGEGF,less than 3 months,corporate / office,Engineering,25,True
1.0,AS,18912,Corporate,SMB,31.0,support,4,Usage or technical consultation,ventilation,,,ceo/founder,LGECL,3 months ~ 6 months,corporate / office,,124,False
1.0,AS,18912,Corporate,SMB,31.0,support,4,Usage or Technical Consultation,ventilation,,,ceo/founder,LGECL,3 months ~ 6 months,corporate / office,,124,False
1.0,AS,4685,End-Customer,Enterprise,,operations,15,Usage or technical consultation,ventilation,,,associate/analyst,LGEPR,3 months ~ 6 months,corporate / office,Others,125,False
1.0,AS,4685,End Customer,Enterprise,,operations,15,Usage or Technical Consultation,ventilation,,,associate/analyst,LGEPR,3 months ~ 6 months,corporate / office,Others,125,False
1.0,AS,19207,End-Customer,SMB,,operations,247,Quotation or purchase consultation,heating,,,ceo/founder,LGEDG,less than 3 months,corporate / office,Others,126,False
1.0,AS,19207,End Customer,SMB,,operations,247,Quotation or Purchase Consultation,heating,,,ceo/founder,LGEDG,less than 3 months,corporate / office,Others,126,False
1.0,AS,30898,End Customer,SMB,,administrative,70,Quotation or Purchase Consultation,chiller,,,entry level,LGEPH,more than a year,corporate / office,Entertainment,61,False
1.0,AS,38171,End Customer,SMB,,purchasing,99,Quotation or Purchase Consultation,vrf,,,manager,LGEIL,less than 3 months,corporate / office,Consulting,48,True
1.0,AS,38171,End-Customer,SMB,,purchasing,99,Quotation or Purchase Consultation,vrf,,,manager,LGEIL,less than 3 months,,,48,True
1.0,AS,31653,End-Customer,SMB,,engineering,567,Quotation or Purchase Consultation,vrf,,,associate/analyst,LGEIL,3 months ~ 6 months,corporate / office,,128,True
1.0,AS,31653,End Customer,SMB,,engineering,567,Quotation or Purchase Consultation,vrf,,,associate/analyst,LGEIL,3 months ~ 6 months,corporate / office,,128,True
1.0,AS,36448,End-Customer,SMB,,administrative,583,Quotation or purchase consultation,chiller,,,ceo/founder,LGERO,less than 3 months,corporate / office,,130,False
1.0,AS,36448,End Customer,SMB,,administrative,583,Quotation or Purchase Consultation,chiller,,,ceo/founder,LGERO,less than 3 months,corporate / office,,130,False
1.0,AS,39235,End-Customer,SMB,,business development,38,Quotation or purchase consultation,rac,,,c-level executive,LGEMS,more than a year,corporate / office,IT/Software,42,False
1.0,AS,39235,End Customer,SMB,,business development,38,Quotation or Purchase Consultation,etc.,,,c-level executive,LGEMS,more than a year,corporate / office,IT/Software,42,False
0.5,AS,27958,End-Customer,SMB,,administrative,59,Quotation or purchase consultation,multi-split,,,manager,LGEPR,,corporate / office,,125,False
0.75,AS,33469,Specifier/ Influencer,Enterprise,,program and project management,450,Quotation or purchase consultation,rac,,,ceo/founder,LGEDG,3 months ~ 6 months,corporate / office,Engineering,126,False
0.75,AS,9755,End-Customer,Enterprise,,engineering,172,Quotation or purchase consultation,single-split,,,director,LGEPS,less than 3 months,corporate / office,Construction,81,False
1.0,AS,27326,Specifier/ Influencer,SMB,,engineering,168,Quotation or Purchase Consultation,vrf,,,entry level,LGEPH,less than 3 months,corporate / office,Engineering,15,False
1.0,AS,34580,End Customer,Enterprise,,engineering,111,Quotation or Purchase Consultation,vrf,,,partner,LGEPH,less than 3 months,corporate / office,Construction,83,True
